Company,TypeName,Inches,Ram,Weight,Touchscreen,IPS,PPI,Cpu_brand,HDD,SSD,Gpu_brand,Gpu_name,OpSys,Price
HP,Netbook,15.8,16,1.4,0,0,203.9,Intel Core i7,0,512,Nvidia GeForce,Nvidia GeForce RTX 3060,No OS,85200.0
Dell,Notebook,14.6,8,1.19,1,0,110.9,Intel Core i7,2048,256,AMD Radeon,AMD Radeon Vega 8,Windows,70500.0
Dell,Notebook,17.0,64,2.64,0,0,182.1,Intel Core i5,0,256,Intel Integrated,Intel Iris Xe Graphics,Windows,103600.0
Lenovo,Notebook,14.8,4,2.7,0,0,211.2,Intel Core i7,500,256,AMD Radeon,AMD Radeon RX 6500M,Windows,59100.0
HP,Notebook,16.3,8,1.63,0,0,196.3,Intel Core i3,1024,2048,Intel Integrated,Intel Iris Xe Graphics,Windows,69400.0
Acer,Gaming,16.9,16,2.84,1,0,111.4,Intel Core i5,500,512,AMD Radeon,AMD Radeon RX 6500M,Linux,72500.0
Lenovo,Notebook,15.7,16,2.17,0,0,162.7,Intel Core i5,0,128,Intel Integrated,Intel UHD Graphics,Windows,60300.0
Dell,Gaming,14.7,8,2.89,0,1,205.7,Intel Core i7,0,256,AMD Radeon,AMD Radeon RX 6500M,Linux,86800.0
HP,Notebook,13.6,32,1.62,0,0,142.3,Intel Core i5,0,256,AMD Radeon,AMD Radeon Vega 8,Windows,69400.0
HP,Ultrabook,15.6,8,2.95,1,0,159.7,Intel Core i5,0,256,AMD Radeon,AMD Radeon RX 6500M,Windows,64900.0
Dell,Notebook,15.2,16,2.11,0,1,171.1,Intel Core i3,0,256,Nvidia GeForce,Nvidia GeForce RTX 4060,Windows,81100.0
Dell,2 in 1 Convertible,13.4,8,1.18,0,1,102.0,Intel Core i7,500,256,Intel Integrated,Intel UHD Graphics,Windows,76500.0
Lenovo,2 in 1 Convertible,15.5,16,1.5,0,1,127.4,Intel Core i5,0,2048,Intel Integrated,Intel UHD Graphics,Windows,79800.0
HP,Gaming,16.7,32,2.58,0,0,119.4,AMD Ryzen 5,0,512,Intel Integrated,Intel UHD Graphics,No OS,85700.0
HP,Notebook,14.4,8,2.99,0,0,159.3,Intel Core i5,500,256,Nvidia GeForce,Nvidia GeForce MX450,Windows,58100.0
HP,Ultrabook,17.2,16,2.82,0,0,177.4,Intel Core i7,0,1024,AMD Radeon,AMD Radeon RX 6600M,Mac,91300.0
Dell,Netbook,14.3,8,2.78,0,1,139.7,Intel Core i7,2048,512,Intel Integrated,Intel UHD Graphics,Windows,59000.0
Dell,Ultrabook,16.9,16,2.18,0,1,218.8,Intel Core i3,1024,512,Nvidia GeForce,Nvidia GeForce MX450,Windows,77000.0
